Curve,λ (μm),Reflectance
Curve 1 (T=298K),0.23,0.09
Curve 1 (T=298K),0.259,0.08
Curve 1 (T=298K),0.278,0.088
Curve 1 (T=298K),0.326,0.08
Curve 1 (T=298K),0.35,0.08
Curve 1 (T=298K),0.421,0.067
Curve 1 (T=298K),0.649,0.064
Curve 1 (T=298K),0.85,0.07
Curve 1 (T=298K),1.15,0.065
Curve 1 (T=298K),1.65,0.065
Curve 1 (T=298K),1.97,0.068
Curve 1 (T=298K),2.35,0.072
Curve 1 (T=298K),2.65,0.075
Curve 2 (T~298K),0.23,0.081
Curve 2 (T~298K),0.28,0.058
Curve 2 (T~298K),0.374,0.081
Curve 2 (T~298K),0.579,0.112
Curve 2 (T~298K),0.748,0.3
Curve 2 (T~298K),0.828,0.496
Curve 2 (T~298K),1.35,0.458
Curve 2 (T~298K),1.99,0.467
Curve 2 (T~298K),2.65,0.489
Curve 3* (T~298K),0.23,0.081
Curve 3* (T~298K),0.28,0.059
Curve 3* (T~298K),0.381,0.072
Curve 3* (T~298K),0.481,0.1
Curve 3* (T~298K),0.598,0.122
Curve 3* (T~298K),0.805,0.477
Curve 3* (T~298K),1.08,0.461
Curve 3* (T~298K),1.65,0.44
Curve 3* (T~298K),2.27,0.459
Curve 3* (T~298K),2.65,0.473
Curve 4 (T~298K),0.23,0.07
Curve 4 (T~298K),0.28,0.045
Curve 4 (T~298K),0.377,0.067
Curve 4 (T~298K),0.484,0.145
Curve 4 (T~298K),0.674,0.201
Curve 4 (T~298K),0.808,0.469
Curve 4 (T~298K),1.05,0.451
Curve 4 (T~298K),1.45,0.428
Curve 4 (T~298K),2.05,0.444
Curve 4 (T~298K),2.65,0.464
Curve 5 (T~298K),0.23,0.094
Curve 5 (T~298K),0.291,0.101
Curve 5 (T~298K),0.383,0.082
Curve 5 (T~298K),0.56,0.094
Curve 5 (T~298K),0.739,0.173
Curve 5 (T~298K),0.966,0.668
Curve 5 (T~298K),1.16,0.814
Curve 5 (T~298K),1.34,0.815
Curve 5 (T~298K),1.82,0.717
Curve 5 (T~298K),2.27,0.579
Curve 5 (T~298K),2.65,0.337
Curve 6* (T~298K),0.23,0.092
Curve 6* (T~298K),0.299,0.098
Curve 6* (T~298K),0.368,0.077
Curve 6* (T~298K),0.57,0.095
Curve 6* (T~298K),0.772,0.209
Curve 6* (T~298K),0.985,0.668
Curve 6* (T~298K),1.19,0.804
Curve 6* (T~298K),1.38,0.778
Curve 6* (T~298K),1.8,0.699
Curve 6* (T~298K),2.09,0.596
Curve 6* (T~298K),2.44,0.4
Curve 6* (T~298K),2.65,0.283
Curve 7 (T~298K),0.23,0.09
Curve 7 (T~298K),0.309,0.093
Curve 7 (T~298K),0.415,0.104
Curve 7 (T~298K),0.537,0.09
Curve 7 (T~298K),0.753,0.18
Curve 7 (T~298K),0.991,0.599
Curve 7 (T~298K),1.19,0.661
Curve 7 (T~298K),1.37,0.638
Curve 7 (T~298K),1.51,0.615
Curve 7 (T~298K),1.84,0.573
Curve 7 (T~298K),2.11,0.517
Curve 7 (T~298K),2.4,0.399
Curve 7 (T~298K),2.65,0.266
